concept_id,concept_name,patient_count
441840,Clinical finding,2273166
4274025,Disease,2158998
4180628,Disorder of body system,1976832
4117930,Finding of trunk structure,1117704
4028071,Disorder of trunk,1027355
4247371,Head finding,905791
4027384,Inflammatory disorder,894956
4180169,Inflammation of specific body structures or tissue,887627
37311678,Finding of abdominopelvic segment of trunk,877189
4042836,Disorder of head,872731
4178818,Inflammation of specific body systems,872344
4302537,Digestive system finding,859484
4201745,Disorder of digestive system,849363
37311677,Disorder of abdominopelvic segment of trunk,823274
4181063,Inflammation of specific body organs,780483
4309188,Disorder of digestive tract,744452
43531058,Finding of abdomen,741843
4297887,Disorder of digestive organ,739319
4093991,General finding of soft tissue,721184
4182161,Finding of head region,714326
444089,Disorder of abdomen,703671
376208,Disorder of soft tissue,702447
4096864,Abdominal organ finding,667175
4198525,Disorder of upper digestive tract,568583
4024567,Respiratory finding,551963
432795,Traumatic or non-traumatic injury,532027
135930,Musculoskeletal finding,501928
320136,Disorder of respiratory system,497244
4190185,Inflammatory disorder of digestive system,495435
4178545,"Ear, nose and throat finding",495033
4244662,Disorder of musculoskeletal system,467201
4102111,Mass of body structure,457926
4304916,Gastrointestinal tract finding,447292
4113999,Mass of body region,442691
43531057,Finding of upper trunk,439814
4185503,Finding of region of thorax,434792
432250,Infectious disease,434193
4043371,Inflammatory disorder of digestive tract,434075
4000610,Disorder of gastrointestinal tract,433639
4212577,Skin AND/OR mucosa finding,422005
4339468,"Ear, nose and throat disorder",419296
4011630,Neurological finding,414521
4041285,Urogenital finding,377837
43531056,Disorder of thoracic segment of trunk,366598
4024013,Sensory nervous system finding,364079
4171379,Disorder of the genitourinary system,362194
4043346,Disorder of thorax,361925
134057,Disorder of cardiovascular system,360536
4266186,Neoplasm and/or hamartoma,350953
438112,Neoplastic disease,349976
443883,Acute disease,349086
4170962,Pain / sensation finding,346931
4329041,Pain,344440
44783587,Finding of sensation by site,343122
4339410,Disorder of skeletal system,335505
440921,Traumatic injury,334678
4103320,Upper respiratory tract finding,333470
254068,Disorder of upper respiratory system,324114
4132926,Pain finding at anatomical site,323351
443783,Chronic disease,319436
4162282,Inflammatory disorder of the respiratory system,312860
4028387,Disorder of integument,308279
200174,Disorder of skin and/or subcutaneous tissue,305985
4180170,Inflammatory disorder of the respiratory tract,305159
4000609,Disorder of upper gastrointestinal tract,303772
138239,Finding of limb structure,301318
141960,Skin finding,300509
4344497,Soft tissue lesion,296104
4317258,Disorder of skin,295414
4206591,Mass of trunk,292579
31821,Disorder of endocrine system,291354
43531059,Finding of pelvic region of trunk,289872
133468,Disorder of limb,284186
619741,Injury of head and/or neck,283305
4103352,Finding of face,281454
4181187,Inflammatory disorder of head,280424
376337,Disorder of nervous system,277594
43531053,Disorder of pelvic region of trunk,274488
375415,Injury of head,266465
4038677,Stomach finding,265193
201891,Disorder of stomach,265193
37168189,Disorder of sensory organ,255972
37206233,Disorder of joint region,253484
77960,Joint finding,244072
40480457,Evaluation finding,241787
4054501,Neoplasm of trunk,241682
4038502,Eye / vision finding,237410
4134440,Visual system disorder,236561
192438,Abdominal mass,231251
444208,Chronic inflammatory disorder,230422
4086181,Central nervous system finding,226647
4170143,Respiratory tract infection,220623
4104157,Genital finding,219013
436670,Metabolic disease,218282
373499,Disorder of eye region,217454
435506,Benign neoplastic disease,217062
4091532,Bowel finding,216093
440029,Viral disease,214630
4179871,Disorder of reproductive system,214346
4134294,Acute inflammatory disease,213482
43531060,Finding of pelvis,213239
4184252,Finding of neck region,212017
4042837,Disorder of neck,210379
4027553,Disorder of lower respiratory system,210209
4307122,Finding of mouth region,206264
4042502,Disease of mouth,204678
4115259,Lower respiratory tract finding,202968
73553,Arthropathy,202287
43531054,Disorder of pelvis,201935
4043671,Inflammatory disorder of upper respiratory tract,200028
376106,Disorder of the central nervous system,199835
201618,Disorder of intestine,199780
4101796,Finding of brain,197409
4042142,Nose finding,197227
4042835,Disorder of face,193262
4133974,Neoplasm of abdomen,192319
316866,Hypertensive disorder,191435
4021667,Wound finding,190866
4168335,Wound,190865
320128,Essential hypertension,187182
4022570,Oral cavity finding,187133
4179873,Degenerative disorder,186379
4054503,Neoplasm of intra-abdominal organs,183051
75865,Disorder of the urinary system,182402
4134593,Chronic digestive system disorder,180526
4006969,Acute respiratory disease,178697
4116811,Pain of truncal structure,178236
435569,Disorder of jaw,175408
4042505,Bone finding,174772
75909,Disorder of bone,174663
4071689,Blood vessel finding,173831
4083787,Skin or mucosa lesion,172148
372887,Disorder of brain,169947
435244,Developmental disorder,168990
253549,Disorder of connective tissue,168241
4022922,Finding of lower limb,168124
4090614,Disorder of soft tissue of head,166145
4022201,Injury of musculoskeletal system,165840
1244824,Disorder of liver and/or biliary tract,163956
201340,Gastritis,162394
4115106,Mass of digestive structure,161849
4115260,Lung finding,161431
440371,Disorder of immune function,160419
37018424,Lesion of skin and/or skin-associated mucous membrane,159726
193460,Disorder of lower limb,157365
443784,Vascular disorder,155892
4028076,Mucosal finding,155728
4318379,Disorder of mucous membrane,155630
4080992,Globe finding,155265
375252,Disorder of eye,154921
4091808,Nasal symptom,153423
257907,Disorder of lung,153096
4213101,Finding of back,152947
201603,Disorder of teeth AND/OR supporting structures,151839
443392,Malignant neoplastic disease,149184
4115390,Mediastinal finding,148470
4020346,Finding of upper limb,147472
443258,Mass of head and/or neck,147252
44784102,Pelvic organ finding,146076
4103183,Cardiac finding,143079
4028876,Inflammatory disorder of lower respiratory tract,142459
4316083,Skin lesion,141682
4242980,Benign neoplasm of trunk,141273
4176644,Disorder of auditory system,139832
4042503,Disorder of upper limb,139233
140190,Disorder of back,137894
4182165,Finding of spinal region,137253
4260918,Disorder of spinal region,136151
4181583,Upper respiratory infection,134744
439392,Primary malignant neoplasm,133758
194526,Injury of trunk,133396
4095793,Female genitalia finding,132551
444187,Open wound,130847
4132552,Acute digestive system disorder,130422
4180154,Disorder of female reproductive system,127953
440142,Disorder of mediastinum,126678
4028253,Neoplasm of digestive system,124443
4053584,Superficial injury,124284
321588,Heart disease,121214
443343,Disorder of female genital system,120652
4093227,Disorder of soft tissue of trunk,119650
44782620,Disorder of free lower limb,119623
200452,Disorder of female genital organs,119216
4154739,Bone injury,119138
37110208,Lesion of genitalia,117900
4111798,Neoplasm of digestive organ,117536
4093333,Liver finding,116746
194984,Disease of liver,116671
37116972,Disorder of retroperitoneum,116624
75053,Fracture of bone,116215
4114336,Benign neoplasm of abdomen,116025
437515,Disorder of carbohydrate metabolism,114625
432661,Inflammatory disease of mucous membrane,114025
437312,Bleeding,112703
4239897,Benign neoplasm of intra-abdominal organs,112645
4185207,Lesion of neck,112396
4130526,Disorder of glucose metabolism,112328
4082416,Ear finding,112218
4132462,Tooth finding,112090
4022571,Finding of pharynx,112056
31057,Disorder of pharynx,112056
4083964,Soft tissue injury,111112
201820,Diabetes mellitus,110720
4113998,Mass of urogenital structure,110715
378161,Disorder of ear,110667
4122115,Tooth disorder,110515
37018677,Anomaly of eye,109305
4049222,Disorder of nose and nasopharynx,109093
201131,Pelvic mass,109050
4101212,Finding of esophagus,108797
31610,Disorder of esophagus,108112
4201376,Finding of thyroid gland,107755
